,prognosis,symptoms_text
0,Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches"
1,Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic _patches"
2,Fungal infection,"itching,nodal_skin_eruptions,dischromic _patches"
3,Fungal infection,"itching,skin_rash,dischromic _patches"
4,Fungal infection,"itching,skin_rash,nodal_skin_eruptions"
5,Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic _patches"
6,Fungal infection,"itching,nodal_skin_eruptions,dischromic _patches"
7,Fungal infection,"itching,skin_rash,dischromic _patches"
8,Fungal infection,"itching,skin_rash,nodal_skin_eruptions"
9,Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches"
10,Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes"
11,Allergy,"shivering,chills,watering_from_eyes"
12,Allergy,"continuous_sneezing,chills,watering_from_eyes"
13,Allergy,"continuous_sneezing,shivering,watering_from_eyes"
14,Allergy,"continuous_sneezing,shivering,chills"
15,Allergy,"shivering,chills,watering_from_eyes"
16,Allergy,"continuous_sneezing,chills,watering_from_eyes"
17,Allergy,"continuous_sneezing,shivering,watering_from_eyes"
18,Allergy,"continuous_sneezing,shivering,chills"
19,Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes"
20,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
21,GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain"
22,GERD,"stomach_pain,acidity,vomiting,cough,chest_pain"
23,GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain"
24,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain"
25,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough"
26,GERD,"acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
27,GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain"
28,GERD,"stomach_pain,acidity,vomiting,cough,chest_pain"
29,GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain"
