,label,text,cleaned_text
0,Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches","itching , skin rash , nodal skin eruptions , dischromic patches"
1,Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic _patches","skin rash , nodal skin eruptions , dischromic patches"
2,Fungal infection,"itching,nodal_skin_eruptions,dischromic _patches","itching , nodal skin eruptions , dischromic patches"
3,Fungal infection,"itching,skin_rash,dischromic _patches","itching , skin rash , dischromic patches"
4,Fungal infection,"itching,skin_rash,nodal_skin_eruptions","itching , skin rash , nodal skin eruptions"
5,Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic _patches","skin rash , nodal skin eruptions , dischromic patches"
6,Fungal infection,"itching,nodal_skin_eruptions,dischromic _patches","itching , nodal skin eruptions , dischromic patches"
7,Fungal infection,"itching,skin_rash,dischromic _patches","itching , skin rash , dischromic patches"
8,Fungal infection,"itching,skin_rash,nodal_skin_eruptions","itching , skin rash , nodal skin eruptions"
9,Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches","itching , skin rash , nodal skin eruptions , dischromic patches"
10,Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes","continuous sneezing , shivering , chills , watering eyes"
11,Allergy,"shivering,chills,watering_from_eyes","shivering , chills , watering eyes"
12,Allergy,"continuous_sneezing,chills,watering_from_eyes","continuous sneezing , chills , watering eyes"
13,Allergy,"continuous_sneezing,shivering,watering_from_eyes","continuous sneezing , shivering , watering eyes"
14,Allergy,"continuous_sneezing,shivering,chills","continuous sneezing , shivering , chills"
15,Allergy,"shivering,chills,watering_from_eyes","shivering , chills , watering eyes"
16,Allergy,"continuous_sneezing,chills,watering_from_eyes","continuous sneezing , chills , watering eyes"
17,Allergy,"continuous_sneezing,shivering,watering_from_eyes","continuous sneezing , shivering , watering eyes"
18,Allergy,"continuous_sneezing,shivering,chills","continuous sneezing , shivering , chills"
19,Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes","continuous sneezing , shivering , chills , watering eyes"
20,GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain","stomach pain , acidity , ulcers tongue , vomiting , cough , chest pain"
21,GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain","stomach pain , ulcers tongue , vomiting , cough , chest pain"
