DID,DNAME,PRECAU,OCCUR,RISKFAC
101,Fungal Infection,"Bath twice, use dettol or neem in bathing water, keep infected area dry, use clean cloths
",Common -More than 1 million cases per year (India),"Colonization, broad-spectrum antibiotics, indwelling central catheter"
102,Food allergy,"Apply calamine, cover area with bandage, use ice to compress itching
",Very common-More than 10 million cases per year (India),"Atopic dermatitis, Family history, hay fever"
103,GERD,"Avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise
",Very common-More than 10 million cases per year (India),"Obesity, Connective tissue disorders, such as scleroderma."
104,Chronic cholestasis,"Cold baths, anti itch medicine, consult doctor, eat healthy
",Common -More than 1 million cases per year (India),"infections from viruses such as HIV, hepatitis, cytomegalovirus"
105,Drug allergy,"Stop irritation, consult nearest hospital, stop taking drug and follow up
",Very common-More than 10 million cases per year (India),"History of food allergy or hay fever, history of drug allergy, Increased exposure to a drug"
106,Peptic Ulcer,"Avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol
",Common -More than 1 million cases per year (India),"taking NSAIDs, Smoking, H. pylori infected, alcohol consumption, untreated stress."
107,AIDS,"pre-exposure prophylaxis (PrEP),use condoms or dental dams with oral sex",Common -More than 1 million cases per year (India),"Having unprotected sex,having another sexually transmitted infection
"
108,Diabetes,"have balanced diet,exercise,consult doctor,follow up",Very common-More than 10 million cases per year (India),"coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries"
109,Gastroenteritis,"stop eating solid food for while, try taking small sips of water, rest, ease back into eating",Very common-More than 10 million cases per year (India),measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal
110,Asthma,"switch to loose clothing, take deep breaths, get away from trigger, seek help",Very common-More than 10 million cases per year (India),",Wheezing when exhaling,Shortness of breath,Chest tightness or pain."
111,Hypertension,"meditation,salt baths,reduce stress,get proper sleep",Very common-More than 10 million cases per year (India),"Diabetes, Unhealthy Diet, Obesity, Excessive Alcohol, Tobacco Use, Family History, high BP"
112,Migraine,"meditation,reduce stress,use polaroid glasses in sun,consult doctor",Very common-More than 10 million cases per year (India),"Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol"
113,Cervical spondylosis,"use heating pad or cold pack,exercise,take otc pain reliever,consult doctor",Very common-More than 10 million cases per year (India),"Older age, stress on your neck, Neck injuries, Genetic factors, Smoking"
114,Brain hemorrhage,"Don't smoke,Don't use drugs,Investigate corrective surgery",Common -More than 1 million cases per year (India),"Smoking, excessive alcohol, hypocholesterolemia, drugs, Old age, male sex, chronic kidney disease"
